table,outcome,column,estimate,se,pvalue,n
table06,worku_paper,female_workpaper,4.270465739817596,4.5135922,.34407991,38033
table06,worku_paper,married_workpaper,.4778156108772428,4.2899423,.91131467,38033
table06,worku_paper,female_married_workpaper,-2.744986005415308,3.8196824,.47236124,38033
table06,childcare_paper,work_paper,-4.634985699267994,3.1356595,.13936672,38033
table06,childcare_paper,female_workpaper,16.09029552952316,7.3983951,.029642409,38033
table06,childcare_paper,married_workpaper,-7.222889782125812,21.804729,.74045312,38033
table06,childcare_paper,female_married_workpaper,-20.38170998956011,22.982941,.37517631,38033
table06,home_paper,work_paper,33.61185995807471,14.648195,.021755623,38033
table06,home_paper,female_workpaper,-50.44996616330978,21.734587,.020276941,38033
table06,home_paper,married_workpaper,25.54660515951521,37.468178,.49535188,38033
table06,home_paper,female_married_workpaper,52.6220346372523,50.513657,.29753283,38033
table06,homeproduction_paper,work_paper,20.95461828610175,6.9532285,.0025812283,38033
table06,homeproduction_paper,female_workpaper,-16.11299224449525,9.0693102,.0756258,38033
table06,homeproduction_paper,married_workpaper,-5.59295096055953,35.589775,.87512624,38033
table06,homeproduction_paper,female_married_workpaper,37.87399420218913,37.327065,.31027156,38033
table06,homeown_paper,work_paper,18.41727559887716,11.168772,.099148184,38033
table06,homeown_paper,female_workpaper,.6188488466910252,6.6861854,.92625606,38033
table06,homeown_paper,married_workpaper,71.10685691100309,37.264172,.056367561,38033
table06,homeown_paper,female_married_workpaper,-63.05176017877605,40.713421,.12146045,38033
table06,shopping_paper,work_paper,-4.668994550125624,4.9383602,.34442693,38033
table06,shopping_paper,female_workpaper,-31.68090831805467,12.627781,.012113307,38033
table06,shopping_paper,married_workpaper,-34.26307659299397,32.092018,.28567797,38033
table06,shopping_paper,female_married_workpaper,65.00607350978585,40.241394,.10622341,38033
table06,othercare_paper,work_paper,-1.091039349189288,2.5139377,.6642912,38033
table06,othercare_paper,female_workpaper,-3.274914760759388,6.4866409,.61364967,38033
table06,othercare_paper,married_workpaper,-5.704224556435392,6.5190282,.38156766,38033
table06,othercare_paper,female_married_workpaper,12.79372738467014,7.2343159,.076981053,38033
table06,leisure_paper,work_paper,150.8466498994674,29.451172,3.0243456e-07,38033
table06,leisure_paper,female_workpaper,3.168805174571959,67.841125,.96274501,38033
table06,leisure_paper,married_workpaper,-24.28150958082724,63.218906,.70091456,38033
table06,leisure_paper,female_married_workpaper,-47.37825202495571,90.124458,.59909803,38033
table06,tv_paper,work_paper,62.13474256018404,17.567814,.00040492788,38033
table06,tv_paper,female_workpaper,-31.00169324445229,34.330952,.36651284,38033
table06,tv_paper,married_workpaper,-22.3474813598801,46.001293,.62710816,38033
table06,tv_paper,female_married_workpaper,24.68241713158427,48.712467,.61236805,38033
table06,socializing_paper,work_paper,44.09953693071979,8.7966099,5.3520358e-07,38033
table06,socializing_paper,female_workpaper,-35.92250134490654,14.954524,.016300539,38033
table06,socializing_paper,married_workpaper,-36.09405575262108,21.251772,.089431889,38033
table06,socializing_paper,female_married_workpaper,22.37966995273018,32.968609,.49725348,38033
table06,sleeping_paper,work_paper,32.69987790612645,9.3911581,.00049771002,38033
table06,sleeping_paper,female_workpaper,35.18738534077117,15.214992,.020740315,38033
table06,sleeping_paper,married_workpaper,9.553850747808365,36.769932,.79499662,38033
table06,sleeping_paper,female_married_workpaper,-41.87620135790277,38.632736,.27838412,38033
table06,ep_paper,work_paper,-25.58962819342513,7.37287,.00051894423,38033
table06,ep_paper,female_workpaper,4.775874299945795,13.852174,.73026401,38033
table06,ep_paper,married_workpaper,-1.734957010982928,18.026558,.92332637,38033
table06,ep_paper,female_married_workpaper,2.753078364495209,21.597651,.89856744,38033
table06,otherleisure_paper,work_paper,37.50212106043018,23.179819,.10568887,38033
table06,otherleisure_paper,female_workpaper,30.12973944771596,32.667824,.35636881,38033
table06,otherleisure_paper,married_workpaper,26.34113298751702,42.071091,.53124273,38033
table06,otherleisure_paper,female_married_workpaper,-55.31721516136756,49.991882,.26849979,38033
table06,other_paper,work_paper,-75.21343753702544,41.034168,.066810526,38033
table06,other_paper,female_workpaper,26.25076615236071,45.848804,.56694895,38033
table06,other_paper,married_workpaper,6.654872250718904,71.492172,.92583579,38033
table06,other_paper,female_married_workpaper,12.60566994589545,61.771305,.8382988,38033
table06,education_paper,work_paper,-56.84177123272075,37.751522,.13214892,38033
table06,education_paper,female_workpaper,43.26840439769403,32.916576,.18868242,38033
table06,education_paper,married_workpaper,45.85501694817072,36.226032,.20558363,38033
table06,education_paper,female_married_workpaper,-28.71552243218766,32.550774,.37768146,38033
table06,civic_paper,work_paper,-5.125217995477079,3.9530091,.19479094,38033
table06,civic_paper,female_workpaper,-14.29628153048999,9.1969624,.12007548,38033
table06,civic_paper,married_workpaper,-42.25777990540185,29.597485,.15336412,38033
table06,civic_paper,female_married_workpaper,39.48458392508697,35.442299,.26525664,38033
table06,ownmedical_paper,work_paper,-5.706474684047566,2.2362363,.010716155,38033
table06,ownmedical_paper,female_workpaper,-4.281546547642745,10.993622,.69693786,38033
table06,ownmedical_paper,married_workpaper,-7.38638719708054,6.3292046,.24319726,38033
table06,ownmedical_paper,female_married_workpaper,15.17090232338105,13.472022,.26012138,38033
table07,worka_paper,married,3.600422024232627,2.4427707,.14050606,20712
table07,worka_paper,single,-.5569739515598069,2.8105063,.84290761,20712
table07,worku_paper,married,-1.387409947604739,.83096141,.094989777,20712
table07,worku_paper,single,.7996977594657604,4.0169649,.8422001,20712
table07,childcare_paper,married,-15.62566313813759,9.3747721,.095558569,20712
table07,childcare_paper,single,11.34636353337732,5.8496547,.052420553,20712
table07,home_paper,married,60.00472566661198,14.6453,.000041817715,20712
table07,home_paper,single,-16.22422886362047,23.293373,.48610517,20712
table07,homeproduction_paper,married,36.68412052873067,11.014184,.00086651149,20712
table07,homeproduction_paper,single,5.518156326241497,9.1872721,.54808611,20712
table07,homeown_paper,married,26.18194502370674,9.6796732,.0068337773,20712
table07,homeown_paper,single,18.03988496773938,6.4650717,.0052649272,20712
table07,shopping_paper,married,-5.556079916842855,6.8163681,.41501018,20712
table07,shopping_paper,single,-35.47310920872017,13.676157,.0094923833,20712
table07,othercare_paper,married,2.69473965552347,4.4947348,.54881781,20712
table07,othercare_paper,single,-4.309161237907089,6.335247,.49638519,20712
table07,leisure_paper,married,82.31387337390652,14.158682,6.1118670e-09,20712
table07,leisure_paper,single,153.6003023872538,80.408867,.056102216,20712
table07,tv_paper,married,33.4982553903321,19.323008,.082990095,20712
table07,tv_paper,single,31.50285775939247,24.278013,.19442894,20712
table07,socializing_paper,married,-6.41124242747385,8.6182766,.4569295,20712
table07,socializing_paper,single,8.400596702537303,16.006283,.59970057,20712
table07,sleeping_paper,married,35.88319418557991,11.061443,.0011786849,20712
table07,sleeping_paper,single,67.43257331523242,18.417871,.00025098023,20712
table07,ep_paper,married,-19.51943044935394,8.6946363,.024768349,20712
table07,ep_paper,single,-20.49276266036161,9.6608429,.033903379,20712
table07,otherleisure_paper,married,38.86309650601244,19.042179,.041261226,20712
table07,otherleisure_paper,single,66.75703697152872,50.971729,.19030155,20712
table07,other_paper,married,-28.90594809560119,13.044161,.026691044,20712
table07,other_paper,single,-48.96516024543702,72.249557,.49794757,20712
table07,education_paper,married,4.337281999184547,6.6792474,.5161013,20712
table07,education_paper,single,-14.25480962246896,61.619316,.8170532,20712
table07,civic_paper,married,-22.16279784191018,7.7467036,.0042239674,20712
table07,civic_paper,single,-18.96062123879428,9.3470755,.042508394,20712
table07,ownmedical_paper,married,-2.104211713884206,4.2526326,.62073982,20712
table07,ownmedical_paper,single,-9.834616702443725,10.130679,.33165997,20712
table07,worka_paper,single_young,-9.570497504090952,12.484534,.44332635,11326
table07,worku_paper,single_young,-1.573744654015726,10.497466,.88083041,11326
table07,childcare_paper,single_young,151.8887621212459,174.04781,.38283527,11326
table07,home_paper,single_young,-97.37148544690073,136.06036,.47420803,11326
table07,homeproduction_paper,single_young,-43.78464387816635,65.61412,.50457722,11326
table07,homeown_paper,single_young,-5.514470562089049,13.124505,.67436421,11326
table07,shopping_paper,single_young,-61.44121829121827,76.321159,.42079937,11326
table07,othercare_paper,single_young,13.36884260408457,12.713651,.29301316,11326
table07,leisure_paper,single_young,43.45004853593017,130.26973,.73872739,11326
table07,tv_paper,single_young,-46.03236491339619,129.05759,.72133076,11326
table07,socializing_paper,single_young,2.7957420298053,40.450649,.94489819,11326
table07,sleeping_paper,single_young,97.61460118582548,109.29519,.37178859,11326
table07,ep_paper,single_young,-43.40148651271583,46.105396,.34652361,11326
table07,otherleisure_paper,single_young,32.47355728082547,105.82775,.7589553,11326
table07,other_paper,single_young,13.17691627149854,71.938286,.85466486,11326
table07,education_paper,single_young,30.64445322033411,86.344055,.72265631,11326
table07,civic_paper,single_young,-6.339948303027018,21.436592,.76741827,11326
table07,ownmedical_paper,single_young,-10.57602874785738,17.735315,.5509575,11326
table07,worka_paper,married_young,-5.037026182669743,1.9334478,.0091819549,9386
table07,worku_paper,married_young,1.496759247700598,1.5654994,.33902648,9386
table07,childcare_paper,married_young,5.116187001546551,11.542113,.65757585,9386
table07,home_paper,married_young,76.21955881482445,17.613989,.000015100482,9386
table07,homeproduction_paper,married_young,64.0355744946178,16.622156,.00011695489,9386
table07,homeown_paper,married_young,11.8996097973737,9.9580746,.23209837,9386
table07,shopping_paper,married_young,2.502754964058786,8.33321,.76392162,9386
table07,othercare_paper,married_young,-2.218380000423997,5.8941298,.70664102,9386
table07,leisure_paper,married_young,45.68391202714282,21.027903,.029815121,9386
table07,tv_paper,married_young,-9.516119108778209,19.843708,.63154495,9386
table07,socializing_paper,married_young,-23.75500120113734,15.638177,.12875266,9386
table07,sleeping_paper,married_young,43.65006531986824,14.167596,.0020632127,9386
table07,ep_paper,married_young,-1.4384223596627,11.163937,.89747995,9386
table07,otherleisure_paper,married_young,36.74338903146458,9.2505827,.000071269322,9386
table07,other_paper,married_young,-23.47938879762298,18.667919,.2084858,9386
table07,education_paper,married_young,5.377138796999462,8.756875,.5391838,9386
table07,civic_paper,married_young,-27.57167269449463,12.172829,.023511596,9386
table07,ownmedical_paper,married_young,-1.254502363370447,5.0197744,.80265534,9386
table08,worka_paper,beta,.2634556144545658,1.1037792,.81134981,143474
table08,worka_paper,delta,.6186074226103563,1.4550717,.67073548,143474
table08,worka_paper,beta_plus_delta,.8820630370649221,1.010628,.38277915,143474
table08,worku_paper,beta,1.047802625840144,.72710705,.14956862,143474
table08,worku_paper,delta,.4942377931616477,1.1116688,.65661544,143474
table08,worku_paper,beta_plus_delta,1.542040419001792,.87345976,.077489913,143474
table08,childcare_paper,beta,5.155870389667518,5.205195,.3219181,143474
table08,childcare_paper,delta,-10.87311669734323,6.399157,.089291252,143474
table08,childcare_paper,beta_plus_delta,-5.717246307675712,4.0540977,.15846913,143474
table08,home_paper,beta,-5.380809263553954,19.415375,.78167135,143474
table08,home_paper,delta,36.86995923894857,22.258368,.097629949,143474
table08,home_paper,beta_plus_delta,31.48914997539462,12.300076,.010464878,143474
table08,homeproduction_paper,beta,4.39301264867515,7.579546,.56219262,143474
table08,homeproduction_paper,delta,15.60238569014141,9.0210018,.083708487,143474
table08,homeproduction_paper,beta_plus_delta,19.99539833881656,5.390605,.00020782885,143474
table08,homeown_paper,beta,-9.78720570653328,13.199904,.45841438,143474
table08,homeown_paper,delta,40.41010329540952,17.762842,.022907147,143474
table08,homeown_paper,beta_plus_delta,30.62289758887624,12.628931,.015315937,143474
table08,shopping_paper,beta,-1.900056414641449,6.5840669,.77289975,143474
table08,shopping_paper,delta,-16.13948105554548,9.5625839,.091454595,143474
table08,shopping_paper,beta_plus_delta,-18.03953747018693,7.2856388,.013284844,143474
table08,othercare_paper,beta,1.913440516218769,4.4158993,.66479164,143474
table08,othercare_paper,delta,-3.003049141502953,5.1098914,.55673814,143474
table08,othercare_paper,beta_plus_delta,-1.089608625284184,2.8806305,.70524228,143474
table08,leisure_paper,beta,69.91807460422383,22.316797,.0017304143,143474
table08,leisure_paper,delta,55.617901876584,34.577412,.10772485,143474
table08,leisure_paper,beta_plus_delta,125.5359764808078,27.603014,5.4181751e-06,143474
table08,tv_paper,beta,42.40177888556103,20.7129,.040646371,143474
table08,tv_paper,delta,1.970909124499623,26.891273,.94157392,143474
