"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","m13","m14","m15","m16","m17","m18"
"","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se","b/se"
"","0.36308","0.30079","1.93122","2.23297","1.68633","2.79345","2.12058","0.64597","3.93603","2.92919","1.52108","2.06352","1.23127","3.01288","3.98332","2.04961","1.82875","0.56531"
"num_child","0.05062","-0.02727","-0.38573*","0.21699","0.17940","0.37356","-0.28377","-0.05219","-1.38147*","-1.26205**","-0.70504**","0.00988","0.14848","0.42726","1.52686","1.08386","0.25558","-0.04401"
"","0.13110","0.03837","0.15581","0.44299","0.33325","0.33442","0.26902","0.09206","0.69335","0.42118","0.23908","0.33763","0.27414","0.36900","0.81423","0.55564","0.26302","0.08596"
"age_youngest","0.01486","0.01298","-0.58629***","-0.19928**","-0.17536***","0.01154","-0.04417","0.00871","-0.04270","-0.22543","-0.08365","0.01898","0.12730*","0.12010","0.80043***","0.76965***","0.02238","0.00568"
"","0.03015","0.01668","0.05834","0.07436","0.03962","0.04976","0.03632","0.02500","0.16791","0.14814","0.05761","0.05560","0.06036","0.07075","0.15353","0.12484","0.03291","0.02986"
"0.female#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.female#1.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.female#0.hv_child","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000"
"",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
