TUCASEID,TULINENO,TURRP,TESEX,TERRP,TEAGE,TXSEX,TXRRP,TXAGE
20040101041719,1,18,1,18,38,0,0,0
20040101041719,2,20,2,20,36,0,0,0
20040101041719,3,22,2,22,2,0,0,0
20040101041720,1,18,2,18,35,0,0,0
20040101041720,2,21,1,21,38,0,0,0
20040101041720,3,22,2,22,13,0,0,0
20040101041720,4,22,1,22,8,0,0,0
20040101041731,1,18,2,18,73,0,0,0
20040101041731,2,20,1,20,79,0,0,0
20040101041772,1,19,2,19,27,0,0,0
20040101041772,2,21,1,21,25,0,0,0
20040101041772,3,28,1,28,23,0,0,0
20040101041784,1,19,2,19,41,0,0,0
20040101041792,1,19,1,19,62,0,0,0
20040101041794,1,18,1,18,80,0,0,60
20040101041794,2,20,2,20,79,0,0,0
20040101041820,1,19,1,19,74,0,0,0
20040101041837,1,18,1,18,43,0,0,0
20040101041837,2,22,1,22,18,0,0,0
20040101041837,3,22,2,22,17,0,0,0
20040101041837,4,22,2,22,8,0,0,0
20040101041837,5,24,2,24,67,0,0,0
20040101041858,1,18,2,18,59,0,0,0
20040101041858,2,20,1,20,61,0,0,0
20040101041866,1,19,1,19,74,0,0,0
20040101041871,1,18,2,18,80,0,0,60
20040101041871,2,20,1,20,80,0,0,60
20040101041871,3,23,2,23,21,0,0,0
20040101041891,1,18,2,18,30,0,0,0
20040101041891,2,22,2,22,7,0,0,0
20040101041891,3,24,2,24,52,0,0,0
20040101041891,4,24,1,24,52,0,0,0
20040101041915,1,18,1,18,26,0,0,0
20040101041915,2,21,2,21,30,0,0,0
20040101041915,3,22,1,22,3,0,0,0
20040101041924,1,18,2,18,64,0,0,0
20040101041924,2,20,1,20,66,0,0,0
20040101041957,1,18,2,18,17,0,0,0
20040101041957,2,24,1,24,51,0,0,0
20040101041957,3,24,2,24,51,0,0,0
20040101041958,1,18,1,18,33,0,0,0
20040101041958,2,20,2,20,33,0,0,0
20040101041958,3,22,1,22,9,0,0,0
20040101041958,4,22,2,22,8,0,0,0
20040101041958,5,22,2,22,5,0,0,0
20040101041967,1,19,2,19,44,0,0,0
20040101041973,1,19,1,19,41,0,0,0
20040101042001,1,18,2,18,31,0,0,0
20040101042001,2,20,1,20,40,0,0,0
20040101042001,3,22,2,22,12,0,0,0
20040101042001,4,22,2,22,11,0,0,0
20040101042001,5,25,1,25,46,0,0,0
20040101042018,1,18,2,18,16,0,0,0
20040101042018,2,24,2,24,38,0,0,0
20040101042018,3,24,1,24,38,0,0,0
20040101042018,4,25,2,25,14,0,0,0
20040101042018,5,25,2,25,13,0,0,0
20040101042018,6,25,1,25,13,0,0,0
20040101042030,1,18,2,18,77,0,0,0
20040101042030,2,20,1,20,80,0,0,60
20040101042039,1,19,2,19,44,0,0,0
20040101042044,1,18,2,18,48,0,0,0
20040101042044,2,20,1,20,48,0,0,0
20040101042044,3,22,1,22,10,0,0,0
20040101042053,1,18,2,18,45,0,0,0
20040101042053,2,22,1,22,14,0,0,0
20040101042053,3,22,1,22,11,0,0,0
20040101042053,4,21,1,21,47,0,0,0
20040101042057,1,18,1,18,57,0,0,0
20040101042057,2,20,2,20,53,0,0,0
20040101042057,3,22,2,22,33,0,0,0
20040101042057,4,23,2,23,12,0,0,0
20040101042057,5,23,2,23,11,0,0,0
20040101042064,1,18,1,18,61,0,0,0
20040101042064,2,20,2,20,59,0,0,0
20040101042067,1,18,2,18,37,0,0,0
20040101042067,2,20,1,20,38,0,0,0
20040101042067,3,22,2,22,5,0,0,0
20040101042067,4,22,1,22,3,0,0,0
20040101042067,5,22,1,22,1,0,0,0
20040101042077,1,18,2,18,37,0,0,0
20040101042077,2,20,1,20,37,0,0,0
20040101042077,3,22,1,22,5,0,0,0
20040101042112,1,19,1,19,23,0,0,0
20040101042112,2,21,2,21,24,0,0,0
20040101042114,1,19,2,19,80,0,0,60
20040101042118,1,18,1,18,46,0,0,0
20040101042118,2,20,2,20,46,0,0,0
20040101042118,3,22,1,22,19,0,0,0
20040101042120,1,19,1,19,28,0,0,0
20040101042136,1,18,1,18,43,0,0,0
