DATE,LFWA64TTUSM647S
1988-09-01,156288161.095689
1988-10-01,156420401.614912
1988-11-01,156520262.606392
1988-12-01,156636852.573039
1989-01-01,156752978.724452
1989-02-01,156828022.798581
1989-03-01,156868079.502971
1989-04-01,156918154.956972
1989-05-01,156981774.566968
1989-06-01,157004281.191899
1989-07-01,157130897.060419
1989-08-01,157273348.088742
1989-09-01,157648136.35725302
1989-10-01,157678734.063518
1989-11-01,157809084.99663502
1989-12-01,157914310.320376
1990-01-01,159257046.224373
1990-02-01,159384003.18692198
1990-03-01,159425776.192119
1990-04-01,159535969.85584
1990-05-01,159597671.807448
1990-06-01,159722309.382974
1990-07-01,159807033.77032998
1990-08-01,159974186.766657
1990-09-01,160219805.543054
1990-10-01,160240342.32550198
1990-11-01,160488150.54285
1990-12-01,160674778.34665498
1991-01-01,160537277.751471
1991-02-01,160712431.398167
1991-03-01,160914235.164318
1991-04-01,160971512.973427
1991-05-01,161131736.679665
1991-06-01,161198160.009808
1991-07-01,161198810.73515302
1991-08-01,161400167.066258
1991-09-01,161518379.097495
1991-10-01,161642035.913707
1991-11-01,161823984.18234998
1991-12-01,162038645.533757
1992-01-01,161794360.81885898
1992-02-01,162028643.06408498
1992-03-01,162199541.760476
1992-04-01,162315314.088513
1992-05-01,162466739.38737997
1992-06-01,162374878.722839
1992-07-01,162420218.217297
1992-08-01,162806447.27574998
1992-09-01,163062677.455896
1992-10-01,163265811.588502
1992-11-01,163404348.993382
1992-12-01,163525489.540932
1993-01-01,163370596.666691
1993-02-01,163535368.389709
1993-03-01,163678179.412451
1993-04-01,163883792.34069002
1993-05-01,164007234.196558
1993-06-01,164000392.135926
1993-07-01,164139939.070894
1993-08-01,164350592.369698
1993-09-01,164584135.578293
1993-10-01,164778895.66746402
1993-11-01,164826004.46133003
1993-12-01,164980086.048502
1994-01-01,165035340.05249602
1994-02-01,165233845.04951
1994-03-01,165415995.132033
1994-04-01,165617212.79265
1994-05-01,165703177.901023
1994-06-01,165839371.918129
1994-07-01,165996184.939515
1994-08-01,166013733.183951
1994-09-01,166133954.598999
1994-10-01,166213016.078269
1994-11-01,166232113.96148998
1994-12-01,166378917.039947
1995-01-01,166390473.704413
1995-02-01,166519218.78478497
1995-03-01,166670795.125562
1995-04-01,166878381.661714
1995-05-01,166985872.93199
